"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala" "SesgoAbs" "SesgoRel"
1 2 2 2.7 1.5 "VR" -1.2 -0.444444444444444
1 2 3 3.65 1.2 "VR" -2.45 -0.671232876712329
1 2 6 9 2.8 "VR" -6.2 -0.688888888888889
1 2 1 2 1.2 "VR" -0.8 -0.4
11 1 3 3.65 2 "OSCURAS" -1.65 -0.452054794520548
11 1 3 3.65 2 "OSCURAS" -1.65 -0.452054794520548
11 1 6 9 4 "OSCURAS" -5 -0.555555555555556
11 1 2 2.7 1.5 "OSCURAS" -1.2 -0.444444444444444
11 1 5 6.65 3 "OSCURAS" -3.65 -0.548872180451128
11 1 1 2 1 "OSCURAS" -1 -0.5
11 1 2 2.7 1 "OSCURAS" -1.7 -0.62962962962963
11 1 5 6.65 4 "OSCURAS" -2.65 -0.398496240601504
11 1 2 2.7 3 "OSCURAS" 0.3 0.111111111111111
11 1 1 2 1 "OSCURAS" -1 -0.5
11 1 4 4.9 4 "OSCURAS" -0.9 -0.183673469387755
11 1 5 6.65 5 "OSCURAS" -1.65 -0.24812030075188
11 1 6 9 6 "OSCURAS" -3 -0.333333333333333
11 1 1 2 3 "OSCURAS" 1 0.5
11 1 4 4.9 5 "OSCURAS" 0.0999999999999996 0.020408163265306
11 1 4 4.9 6 "OSCURAS" 1.1 0.224489795918367
11 1 3 3.65 4 "OSCURAS" 0.35 0.0958904109589041
11 1 6 9 6 "OSCURAS" -3 -0.333333333333333
11 2 4 4.9 4 "VR" -0.9 -0.183673469387755
11 2 5 6.65 4 "VR" -2.65 -0.398496240601504
11 2 1 2 1 "VR" -1 -0.5
11 2 2 2.7 2 "VR" -0.7 -0.259259259259259
11 2 3 3.65 2 "VR" -1.65 -0.452054794520548
11 2 6 9 4 "VR" -5 -0.555555555555556
